Distance from coast (meters),Elevation above sea level (meters)
0,0
1000,0
2000,0
3000,0
4000,0
5000,0
6000,0
7000,0
8000,0
9000,0
10000,0
11000,0
12000,0
13000,0
14000,0
15000,0
16000,0
17000,0
18000,0
19000,0
20000,0
21000,0
22000,0
23000,0
24000,0
25000,0
26000,0
27000,0
28000,0
29000,0
30000,0
31000,0
32000,0
33000,0
34000,0
35000,0
36000,0
37000,0
38000,0
39000,0
40000,0
41000,0
42000,0
43000,0
44000,0
45000,0
46000,0
47000,0
48000,0
49000,0
50000,0
51000,0
52000,0
53000,0
54000,0
55000,0
56000,0
57000,0
58000,0
59000,1
60000,1
61000,1
62000,1
63000,1
64000,1
65000,1
66000,1
67000,1
68000,1
69000,2
70000,2
71000,2
72000,2
73000,2
74000,2
75000,2
76000,2
77000,2
78000,2
79000,2
80000,2
81000,3
82000,3
83000,3
84000,3
85000,3
86000,3
87000,3
88000,3
89000,3
90000,3
91000,3
92000,3
93000,3
94000,3
95000,3
96000,3
97000,3
98000,3
99000,3
100000,3
101000,3
102000,3
103000,3
104000,3
105000,3
106000,3
107000,3
108000,3
109000,3
110000,3
111000,3
112000,3
113000,3
114000,3
115000,3
116000,4
117000,4
118000,4
119000,22
120000,4
121000,4
122000,4
123000,4
124000,5
125000,5
126000,5
127000,5
128000,5
129000,16
130000,6
131000,7
132000,7
133000,8
134000,8
135000,9
136000,9
137000,9
138000,10
139000,10
140000,10
141000,10
142000,10
143000,10
144000,10
145000,22
146000,10
147000,11
148000,12
149000,14
150000,15
151000,16
152000,19
153000,22
154000,25
155000,28
156000,30
157000,34
158000,35
159000,36
160000,36
161000,37
162000,37
163000,37
164000,38
165000,38
166000,39
167000,39
168000,39
169000,40
170000,40
171000,41
172000,41
173000,42
174000,42
175000,43
176000,44
177000,44
178000,45
179000,48
180000,50
181000,54
182000,58
183000,63
184000,67
185000,70
186000,72
187000,76
188000,79
189000,83
190000,86
191000,91
192000,94
193000,98
194000,111
195000,113
196000,144
197000,123
198000,126
199000,127
200000,125
201000,130
202000,133
203000,134
204000,151
205000,136
206000,137
207000,137
208000,138
209000,139
210000,140
211000,141
212000,142
213000,211
214000,143
215000,147
216000,144
217000,145
218000,145
219000,146
220000,146
221000,147
222000,147
223000,148
224000,149
225000,149
226000,150
227000,151
228000,152
229000,153
230000,154
231000,154
232000,154
233000,154
234000,154
235000,154
236000,154
237000,154
238000,154
239000,155
240000,155
